Common_name,Ecoinvent_name,Ecoinvent_code,type_of_flow
"polypropylene production, granulate","polypropylene production, granulate",e016ed68e911fb24b4034c4235ce74f3,technosphere
"market for hydropower plant, reservoir, non-alpine regions","market for hydropower plant, reservoir, non-alpine regions",f94080a86adb28fe84eac888354cfd2e,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",51259780e26d4bdd96079b011a6049bd,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",6824b01f70f74997a18cba484833d40e,technosphere
"market for photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof","market for photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof",8e3e1a4d8eda7d47de12d4737f0329e4,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",1cf1effabfc1630608a0ad7c95d30547,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",8415473678bf63b4ce4ff6a5d1369169,technosphere
"market for sodium hypochlorite, without water, in 15% solution state","market for sodium hypochlorite, without water, in 15% solution state",ca91f3cb3417ded673cf79ebd46e2318,technosphere
"market for concrete, normal","market for concrete, normal",69112df8975ef251c770e73b76bb64c2,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",080ab54fe058420b8d4d3594e860ee26,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",b05c17f419394d44a7de3a6ff4faaf97,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",9947e60d5b6247c1a4e017c81d60351b,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",8b00dfaaae964f1e94c350ddb9232ced,technosphere
Electricity production_Biopower_ReEDS,Electricity production_Biopower_ReEDS,d64c71e8-0787-4d7b-b98c-5d87a5f5d8a8,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",1e73fc1606bd4c799dd2e3d21a6bef52,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",14ec0cdc1b5f43d7af14079718d7fa98,technosphere
Electricity production_Landfill_gas_ReEDS,Electricity production_Landfill_gas_ReEDS,83c7cf1c-01e7-4f7d-b917-cb7749f1e1ba,technosphere
"market for boric acid, anhydrous, powder","market for boric acid, anhydrous, powder",ef9192ffaee5091d4dc4290682b3335a,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",cfa1a3824778f3ad1c2f16637ef86b9e,technosphere
"polypropylene production, granulate","polypropylene production, granulate",6e82c4cefd0bbee2b6807f6de2a0531b,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",ff7fa23c77d442da8eb66434190faf64,technosphere
Electricity production_Nuclear_ReEDS,Electricity production_Nuclear_ReEDS,0711577e-7700-4592-89e3-4048dc7d1fac,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",14f51b52e3ad4ef186a4ae1f33cb7c0a,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",e041fde745ea4eaf88497bc428584aec,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",dd6c87b743ef466b954e6bd420a1c168,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",3ab0427cbbefd4cfaf9fa32c19fb8bc1,technosphere
"market for cement, Portland","market for cement, Portland",7f3cc0fa220342428bf80e30a9b64cdf,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",aecfb35ce27c4961a1d29755b1b7cc22,technosphere
market for pitch,market for pitch,63d3862d92cafb1606116867a4e014f9,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",cee35ae7eb2e436d87919e117882511c,technosphere
"treatment of waste emulsion paint, municipal incineration","treatment of waste emulsion paint, municipal incineration",4e12452c10c7d5a52548d94512820b55,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",e3a5965401cc498b8c8ad3168a28ebe6,technosphere
market for tap water,market for tap water,90f90ab87841a25431cf6f6c36adaa24,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",cbc4a42b9fcf4cbd87f416386bc97d91,technosphere
"market for oxygen, liquid","market for oxygen, liquid",53b5def592497847e2d0b4d62f2c4456,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",7a1154274a0c4267a2e16e9db16a5ca5,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",717664c7ae8d4434b01b205c33606059,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",35f95d4cc7a84275ad781f36f98e010e,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",440b97bab2e55d297856f25e05391d0b,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",c931ae95d9b046c09f2e359a6e001fbc,technosphere
market for polyvinylfluoride,market for polyvinylfluoride,d570a5b246e310bd8518a988456ca7b3,technosphere
"polyethylene production, low density, granulate","polyethylene production, low density, granulate",9838d5181587984b408d45de578627fb,technosphere
market for cationic resin,market for cationic resin,6f14ce3e1921d9aad385e17b20355009,technosphere
market for lignite power plant,market for lignite power plant,ae12c89d77616a88068c45b2cee740f3,technosphere
"electricity, high voltage from ecoinvent",ReEDS_US_Grid_Mix,0c3b1bb7-04be-4b9f-9971-cab9cc3aa4b3,technosphere
ReEDS_US_Grid_Mix,ReEDS_US_Grid_Mix,0c3b1bb7-04be-4b9f-9971-cab9cc3aa4b3,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",c3ebec95984c49f4aa172af60fe8e552,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,57d16597ae1984ef030e28bbf55f89ba,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",91bda8f0b0074905abc4a2878a988e51,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",d4c11d7052c745c7881cfd6933ef88ad,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",8eb1ea4704d1f9e060798e9f7b9ff124,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",dcd54ade527146fc9e4efdf7e5d1384d,technosphere
Electricity production_Coal-Integrated_Gas_Combustion_Cycle_ReEDS,Electricity production_Coal-Integrated_Gas_Combustion_Cycle_ReEDS,e7710aa1-98bf-4222-9c44-868ee19977a4,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",df8924b948d84816ae739f9edeb08512,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",9339fce6cd6beae3362351b6c84807a3,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",b8cd20ead23cd49e7b8df29042ef0c8b,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",379be367db999b4944dae4b23c4130f0,technosphere
market for pitch,market for pitch,404520e7541effac19a8ad616eb31a2d,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",d3b4e761ff5b410b981a6db970e07a69,technosphere
market for spent nuclear fuel,market for spent nuclear fuel,6d843a5846962048c931940d5833870d,technosphere
"lime production, milled, loose","lime production, milled, loose",8a5f63b700fd337216ea41d8b52361f5,technosphere
market for hard coal,market for hard coal,816852147f28e87ca5065d8455c9eb03,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",7620224597591f9eb2b8b233a4a5a838,technosphere
market for pitch,market for pitch,73802335b8e5a2bf3d11623fa7cfbf24,technosphere
"market for concrete, normal","market for concrete, normal",e9ba552c958af31ba34de8208e067cfd,technosphere
"treatment of waste wood, untreated, sanitary landfill","treatment of waste wood, untreated, sanitary landfill",0d277d38f931ca2cf9f1046b589314c6,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",bef09d58ddae4ee6a161204b432e3f6c,technosphere
market for monoethanolamine,market for monoethanolamine,446bcacdd5a30c9afde166b42a7735bf,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",f90f22d111856c8410e8280974d53d93,technosphere
"market for heat and power co-generation unit, 160kW electrical, components for electricity only","market for heat and power co-generation unit, 160kW electrical, components for electricity only",8b50a1251925aa1854ee5828a9ad741a,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",cc2635e7adf3453b97d57ff2d323637c,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",9e830868d98a243aad8796dfe44fb7c6,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",7c59be64b42849948d5e348e87738acb,technosphere
market for heavy fuel oil,market for heavy fuel oil,5eb967ad31a4df67e3b094d9f592bfbd,technosphere
market for municipal solid waste,market for municipal solid waste,e7480386d3acab7a8f81bc6b7fa230e2,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",f2f50294e49147fc9874bb8ff3dee52e,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",b7146216b4a6429b9e632a0228582d1d,technosphere
market for municipal solid waste,market for municipal solid waste,11bdba0ed10929a76745ed33966513ea,technosphere
market for heavy fuel oil,market for heavy fuel oil,6310755b50a81da3eb910f98d82854d5,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",abadc6f74dfa92682e2dbfd22ef02dd5,technosphere
market for petroleum coke,market for petroleum coke,acb646b235b8afc96f4e8ad0dc34732c,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",76d90ef0bcd8471bbfe49f2d02150b16,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",80c059ff5be640e89d28cdf268e56b2b,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",a564ce5a840b430ec27c314fca784d22,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",b617816bb73d4dfa905923c8de80e635,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,303d92af19c6be4c94b89c7ddd879a2e,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",730de219b6b840dabf49471ec85199db,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,c2520faf13514762937bbf1f3366506a,technosphere
market for sulfuric acid,market for sulfuric acid,d48c15a567f85ccaf9a4bbaef5634b61,technosphere
"market for wind power plant, 2MW, offshore, fixed parts","market for wind power plant, 2MW, offshore, fixed parts",e02ef498459d00bcce3b75d98cd523e4,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",33448d6cf298d32dac4da1a035e3f9a1,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",adaaa42dd604b7c0e127271fdb8302cd,technosphere
"market for cement, Portland","market for cement, Portland",3b6c08ac382d48079ea6c5e366c0164b,technosphere
"market for concrete, normal","market for concrete, normal",1463a17b9024f95c539266bc6e204303,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",2c1359152c791eaa469baddea6dc1cd2,technosphere
market for tap water,market for tap water,ff5886c1b309c045b0fab75a432a75b3,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",af518ee79e9b4769a90aee835827e4c1,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",39c12efc6dd274b09da2dd35d78f0a22,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",3e7f40b07cdc411fbf8f831f273e62f5,technosphere
"treatment of waste textile, soiled, municipal incineration","treatment of waste textile, soiled, municipal incineration",3ef3e536e38150e097fb56c7c3019bfe,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",689e3cb1381f06c8c2285c15f067ba18,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",a223e59110e14e4ea7e162f34ddd363b,technosphere
"market for water, decarbonised","market for water, decarbonised",56894f96a8ef9fc3ab8296a9019e1be8,technosphere
market for light fuel oil,market for light fuel oil,e58c1bae2823a87dd2d5169bd21790ce,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",30f983c60e4318c76bbe297b4603e439,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",a908471fa95f4813b8bd5317c5b3b860,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",3078c5bb9e7b42bda2abd9ef830e07d9,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",4e17f8f8df5adc388a5804f435a37e3b,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",9151b74c181f6e1bc868dbc53c070528,technosphere
"market for water, decarbonised","market for water, decarbonised",71a229dbda106a641a6b948bd44791c9,technosphere
market for hard coal,market for hard coal,ef0de6fa2b0090c273336e9b84db738b,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",9973e19a116f6c374df9747cb60fac4b,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",249dc066094d4db88d4f4310c0659a5d,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",c1c00253bef8f5f6decb3abfeead8f43,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",0f2a98da93c9422c8d2a566323386db2,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",7d43efc801e545069438a8f8482324c5,technosphere
"heat production, heavy fuel oil, at industrial furnace 1MW","heat production, heavy fuel oil, at industrial furnace 1MW",075d9d01c0725b80140af6fdeba259f9,technosphere
market for biogas,market for biogas,cdecfd9c992ca68b68e21bafbe618f4f,technosphere
market for low level radioactive waste,market for low level radioactive waste,f16ebe0cf00906d23646f15369313fe6,technosphere
"sodium chloride production, powder","sodium chloride production, powder",ada5887f02305ca0cd370387ce80a2f0,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",455891db1d40456894c39a33e2fd05eb,technosphere
"treatment of average incineration residue, residual material landfill","treatment of average incineration residue, residual material landfill",d4f282410ce2a55dc46d87aed88eb126,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",5d20bb7ca4424d40b60f5e22fe8325db,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",4865c097eb6b58fa0bd82cae86452850,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",8a215048b6c64359bc01be79f30c9759,technosphere
market for heavy fuel oil,market for heavy fuel oil,423ee8dfb20542d8981a7e21d1d89f61,technosphere
"market for gas power plant, 100MW electrical","market for gas power plant, 100MW electrical",5f3e50d65014590d3466f05c13000505,technosphere
market for municipal solid waste,market for municipal solid waste,9c9c8106f202981331af60a54478f688,technosphere
market for tap water,market for tap water,ee81d50122ef570465fd8052e0c8ebe6,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",70ef9269e76a5a548b6a86f0ccdbc660,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",a7aa471bb0bf8029079c5c90cf887851,technosphere
market for municipal solid waste,market for municipal solid waste,5277d8a528d03946ebfb53e12ab52ea5,technosphere
Electricity production_Oil_gas_steam_ReEDS,Electricity production_Oil_gas_steam_ReEDS,563aeac4-82d2-4905-b88f-0319e69510c7,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",00df96dc62b262b5ad25d16e5b791818,technosphere
market for hard coal,market for hard coal,616f7a98db7bf0c071080d2c0893315d,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",dd171802a11d42b9936ac9c1dd2f7ae7,technosphere
Electricity production_Geothermal_ReEDS,Electricity production_Geothermal_ReEDS,67f001df-dd1b-43f2-926d-da7bbf25701f,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,1ba2b038d54d755d4eeca3fc22da0cd8,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",122db1045b30e4159fa03fa6ef15a589,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",38de445e4a977cf106809ac83698e5f7,technosphere
"market for gas power plant, 300MW electrical","market for gas power plant, 300MW electrical",9745a9c42b8d05a321bf50475e68db12,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",d7cd8c4a0db54e64a79153ca0e69a711,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",aa332911177b45408baed97063dcb308,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",4ac0adf015254a42a9ad0f87384201e4,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",91c3f515a2e399356bfd501ec5bcb4fc,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",4cda3ae5cb6450c11a571ac887f8377e,technosphere
"market for concrete, normal","market for concrete, normal",1238afbff3e1ae4613b1e4480376a9c2,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",ef98ff80016b46fab3371d24924c104d,technosphere
market for municipal solid waste,market for municipal solid waste,8c2b3cc2db354ddf92037ef894195f08,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",78f017d440b4d6396677c1773d2d01ae,technosphere
"aluminium, ingot, primary, import from Rest of Europe","aluminium, ingot, primary, import from Rest of Europe",e6e85b1ad5fb0acf31ee15328fe90af7,technosphere
"market for sodium hydroxide, without water, in 50% solution state","market for sodium hydroxide, without water, in 50% solution state",5b64503ebe2c3c8ae655f54a747b59f8,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",6a887870a4c93245f87c847a969ea18f,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",cfce74898e374dcdb9dab89ced3523e4,technosphere
"treatment of wood ash mixture, pure, sanitary landfill","treatment of wood ash mixture, pure, sanitary landfill",8c5166bb2d8ddd8689f661e6acbc941b,technosphere
market for light fuel oil,market for light fuel oil,abc822915165926cdc031d54cff4e636,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",df90d71f5b2445739c3711cf7fa1375d,technosphere
market for hard coal ash,market for hard coal ash,17035d33052650cb9ceecadd187599ae,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",8ff553652ecf4261bb5d3c3ef318502b,technosphere
"nuclear power plant construction, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW",a1d03ad2307df74f90414a16489aec53,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",ea40f748834de421b74ca21121884dc0,technosphere
"market for cement, Portland","market for cement, Portland",623b30bbf5804833882b25f280f57c11,technosphere
"market for paper, woodfree, coated","market for paper, woodfree, coated",495280d87b7c21534d1ce3543c94fcdc,technosphere
"market for water, decarbonised","market for water, decarbonised",c81a7ee774ddec77243676ab57665b7c,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",e552989161d99d28e7af718b31b62924,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",a7b7bf502f3047d89bd327bddf8e1116,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",c123e7fdf27d411aadc244f6e491c737,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",f138fad81bac4c1188cf077c00836a08,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",8f51a7a5d01f47249a624a77633cd246,technosphere
market for lignite ash,market for lignite ash,9f710cf43760b6775cc064a585a68ad0,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",b08953b5f1e24b4f8bd7dacad3c81a6c,technosphere
market for residue from cooling tower,market for residue from cooling tower,3da2e4c6e7ab14ad7ea70d193be94190,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",1594cc5b9f6945189730ac68d4a0cf30,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",7ae04a297a7048f585692031678c8033,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",9b8751f4ff5e474296f4b1fba0293a1a,technosphere
market group for light fuel oil,market group for light fuel oil,3d71d5881cfa719114cddca6f5b1d5f5,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",53946f59a37a5780d9b86649362de299,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",ae36789a952d507ec72c001422d26745,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",c77adc550ea24508905c6b68faafb876,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",72af731db0d6491bb4cd4bd1622cf268,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",6aeab6296bee4fa999792f2988632f0e,technosphere
"treatment of aluminium scrap, new, at refiner","treatment of aluminium scrap, new, at refiner",98dd05cbdc9c3f37ba656e4ba9008345,technosphere
"treatment of waste emulsion paint, municipal incineration","treatment of waste emulsion paint, municipal incineration",5be2428f7e91754f516bcebb142e432d,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",90611e6085bc4f6eb67080b182bd151b,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",75fdfa191b7543f9817fafbfa5d60333,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",f9d464e5e57b7f187d67dd19cdede9b5,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",bc83c9e82821405e8a72ca63c4add9ee,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",f452d489d5319354f93cc8db131c1f34,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",8940521ead3b413f8173b38c5c81fd4e,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",fa2b4f2e9e1eed90b12d057897d2fc84,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",4aa9ca244517467787d1dc5330f00d3e,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",2ef88961e9b0447ba92dcba431ca57b0,technosphere
"treatment of waste mineral oil, hazardous waste incineration","treatment of waste mineral oil, hazardous waste incineration",81c73b4ac1bdf406fad5015064510a27,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",1fb1025dedeb48d7b2864bcaad2dfe4c,technosphere
Electricity production_Onshore_wind_ReEDS,Electricity production_Onshore_wind_ReEDS,590f458a-a66b-4a65-986d-d212fda981c3,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",7aa9ceef123487fb5e0d9cc96d0367d1,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",904a9f59333e425688256feaf0cc5825,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",0f4842b559db467eacdedcafb1d3056c,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",dffa435c35556272edfd942e418419ab,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",5337e3cc876240f48806acdb58ed8390,technosphere
market for heavy fuel oil,market for heavy fuel oil,3660bffb340f9843d4a2ed41b5d34ef8,technosphere
"treatment of waste emulsion paint, municipal incineration","treatment of waste emulsion paint, municipal incineration",bc0558ca3140d3ec966b8390a7b9a5de,technosphere
"treatment of waste emulsion paint, municipal incineration","treatment of waste emulsion paint, municipal incineration",bb0c448024f6936c4581afa3048327bb,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",3f200684b1d2470db3e1865a352869f5,technosphere
"market for water, decarbonised","market for water, decarbonised",ad2816d559a74c0cdd6f49eacbde3df1,technosphere
market for municipal solid waste,market for municipal solid waste,617523bdb2a876cfc10b31d63d5c1c0a,technosphere
market for lignite,market for lignite,029b62701bc80b2be6a74f4e86912b87,technosphere
lignite IGCC power plant 450MW,lignite IGCC power plant 450MW,2b6f2a474e2f49349ca25e8e8b502451,technosphere
market for lignite,market for lignite,1b8b6980e224972d0867d1061b9c9f89,technosphere
"treatment of waste plastic, mixture, municipal incineration","treatment of waste plastic, mixture, municipal incineration",c729b9492f4838ad28a62840c20fd739,technosphere
market for pitch,market for pitch,146a62489f0421130234820b6afd8f4a,technosphere
"nuclear power plant construction, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW",5bfb062433cfa8a369360a629cfc604b,technosphere
"market for concrete, normal","market for concrete, normal",036dced8ac56258b482181f4f4bb17e6,technosphere
market for lignite ash,market for lignite ash,35de7b1e50d03228a8a96f593d138cb7,technosphere
"market for wind turbine, 4.5MW, onshore","market for wind turbine, 4.5MW, onshore",74164956b8bd20143e5c30ae83f1f9ac,technosphere
"treatment of wood ash mixture, pure, municipal incineration","treatment of wood ash mixture, pure, municipal incineration",d8aa822a0df4a7e3e15f95281cde3ed2,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",d17f02a708e687e520372a6b704a2d85,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,4f52069ab3c1b540f834c7fe2faf0915,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",2176ee129b7c4ca1a1c03f3cb0b86923,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",6193852edddd40dd93aef6280dbd8413,technosphere
market for municipal solid waste,market for municipal solid waste,69df30b70dbfc8aac978291712306277,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",cd5584097ac2798ac50dc69e98b71d02,technosphere
